ts_utc,event,symbol,side,qty,entry,sl,tp1,mode,range_mode,rr,exit_price,extra
2025-09-26T17:16:09+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:16:17+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:16:24+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:32+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:47+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:55+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:17:02+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:19:56+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:02+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:08+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:14+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:21+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:27+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:33+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:46+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:52+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:59+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:05+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:12+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:18+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
