ts_utc,symbol,reason,extra
2025-09-28T06:11:45+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:45+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0082, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:46+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:51+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:52+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:52+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0543, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:11:52+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:53+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0082, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:53+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:59+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:59+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:59+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0543, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:00+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:00+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0082, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:00+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:12:06+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0333, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:06+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:06+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0543, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:07+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:07+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0083, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:07+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:12:13+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0334, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:13+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:14+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0545, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:14+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:14+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0085, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:15+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:12:20+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:21+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:21+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0547, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:22+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:22+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0088, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:22+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:12:28+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:28+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:29+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0547, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:29+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:29+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0088, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:30+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:12:35+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:36+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:36+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0547, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:36+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:37+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0089, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:37+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:12:42+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:43+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:43+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0547, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:44+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:44+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0089, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:44+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:12:50+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:12:50+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:12:50+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0547, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:12:51+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:12:51+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0089, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:12:52+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
